N 100 
0 45 1
1 152 128
2 147 149
3 196 12
4 166 75
5 80 29
6 24 171
7 101 189
8 146 122
9 101 89
10 13 164
11 142 130
12 147 134
13 9 145
14 53 113
15 55 27
16 155 167
17 135 103
18 120 54
19 26 129
20 19 179
21 155 27
22 188 157
23 197 6
24 72 175
25 8 68
26 78 20
27 126 5
28 113 131
29 108 74
30 189 122
31 186 34
32 108 158
33 73 200
34 3 195
35 171 166
36 126 84
37 53 11
38 185 12
39 36 198
40 43 73
41 66 153
42 98 66
43 67 154
44 129 84
45 152 100
46 3 99
47 158 168
48 18 169
49 187 52
50 165 98
51 73 5
52 149 104
53 132 26
54 172 64
55 59 5
56 171 5
57 51 85
58 110 20
59 114 89
60 44 151
61 30 90
62 136 126
63 111 87
64 116 106
65 102 117
66 165 9
67 200 100
68 36 167
69 76 136
70 164 93
71 95 113
72 175 12
73 68 14
74 127 45
75 20 23
76 186 181
77 132 19
78 9 157
79 170 33
80 50 8
81 8 199
82 141 151
83 186 122
84 124 168
85 177 150
86 105 26
87 40 185
88 79 75
89 160 158
90 126 51
91 173 103
92 72 187
93 146 169
94 39 13
95 143 134
96 153 96
97 141 38
98 104 74
99 86 163
