N 100 
0 188 120
1 175 151
2 50 176
3 159 163
4 141 132
5 93 21
6 146 136
7 12 56
8 33 33
9 115 5
10 134 86
11 140 192
12 144 39
13 174 118
14 4 170
15 128 91
16 132 115
17 57 38
18 101 44
19 140 19
20 61 102
21 37 91
22 102 126
23 125 106
24 82 169
25 74 26
26 80 10
27 57 27
28 22 65
29 166 150
30 70 28
31 51 199
32 131 75
33 88 35
34 145 45
35 21 144
36 33 35
37 49 160
38 79 62
39 25 110
40 86 199
41 126 9
42 86 118
43 36 110
44 146 80
45 164 57
46 59 152
47 163 55
48 15 6
49 34 96
50 9 7
51 159 23
52 45 6
53 144 107
54 83 152
55 67 54
56 32 10
57 54 169
58 70 96
59 45 92
60 178 58
61 117 5
62 128 148
63 150 193
64 189 166
65 27 15
66 66 139
67 98 150
68 0 116
69 187 135
70 144 149
71 147 32
72 171 85
73 19 22
74 132 46
75 49 155
76 135 2
77 89 111
78 129 181
79 87 110
80 150 187
81 180 10
82 187 12
83 160 194
84 82 125
85 194 8
86 50 19
87 161 4
88 28 156
89 101 30
90 96 176
91 121 106
92 180 124
93 154 154
94 62 9
95 129 185
96 34 160
97 128 123
98 162 182
99 8 21
