N 100 
0 15 134
1 148 192
2 3 88
3 180 10
4 171 92
5 163 96
6 62 103
7 91 54
8 1 143
9 27 56
10 68 148
11 126 152
12 47 74
13 71 37
14 127 46
15 2 108
16 46 20
17 139 184
18 132 37
19 152 110
20 70 199
21 140 187
22 8 118
23 148 135
24 156 185
25 171 138
26 115 48
27 80 134
28 45 155
29 194 160
30 129 127
31 150 191
32 74 88
33 93 150
34 79 103
35 8 43
36 12 105
37 107 162
38 64 67
39 175 82
40 95 114
41 18 3
42 114 172
43 85 170
44 77 198
45 120 93
46 99 40
47 36 7
48 33 165
49 64 60
50 37 84
51 171 83
52 194 43
53 88 15
54 141 141
55 122 189
56 173 150
57 84 117
58 51 137
59 80 19
60 78 169
61 15 47
62 54 19
63 27 130
64 33 155
65 199 142
66 97 44
67 175 73
68 112 120
69 157 63
70 178 53
71 73 110
72 175 191
73 188 8
74 137 38
75 110 125
76 109 78
77 123 164
78 168 18
79 127 137
80 89 182
81 86 23
82 176 157
83 63 161
84 53 12
85 146 22
86 118 24
87 137 42
88 121 6
89 154 39
90 40 62
91 144 24
92 129 183
93 31 20
94 73 50
95 75 51
96 56 183
97 128 110
98 100 123
99 67 194
