N 100 
0 76 14
1 98 156
2 143 33
3 28 6
4 23 104
5 142 25
6 61 191
7 147 144
8 164 103
9 38 96
10 146 39
11 100 154
12 111 112
13 29 5
14 136 189
15 121 13
16 165 89
17 118 127
18 126 25
19 140 43
20 39 185
21 158 168
22 81 99
23 117 121
24 198 133
25 130 169
26 105 186
27 17 73
28 95 25
29 38 13
30 135 162
31 194 118
32 115 115
33 55 29
34 33 6
35 116 20
36 63 47
37 29 36
38 196 32
39 174 83
40 189 156
41 167 3
42 9 9
43 188 11
44 196 168
45 58 73
46 129 71
47 62 180
48 42 129
49 55 137
50 61 150
51 108 25
52 43 74
53 121 122
54 125 137
55 92 147
56 13 32
57 79 5
58 88 160
59 20 69
60 88 144
61 123 49
62 60 99
63 56 139
64 49 163
65 178 53
66 195 142
67 97 142
68 40 110
69 90 80
70 87 149
71 1 88
72 89 30
73 89 197
74 46 200
75 2 81
76 84 128
77 56 115
78 176 46
79 113 174
80 196 93
81 12 129
82 21 161
83 48 164
84 37 87
85 68 169
86 22 156
87 39 39
88 23 159
89 96 55
90 113 32
91 174 4
92 101 200
93 13 180
94 199 138
95 73 195
96 34 3
97 104 26
98 8 87
99 100 125
