N 100 
0 78 63
1 15 116
2 20 76
3 113 94
4 33 61
5 154 92
6 156 87
7 100 18
8 167 99
9 75 49
10 47 67
11 91 159
12 179 44
13 45 37
14 8 162
15 91 154
16 161 31
17 108 17
18 93 83
19 50 128
20 9 59
21 81 2
22 152 29
23 63 30
24 136 96
25 7 170
26 60 85
27 167 121
28 0 112
29 24 58
30 27 84
31 48 30
32 144 164
33 79 5
34 21 78
35 150 57
36 3 140
37 132 56
38 111 14
39 89 151
40 11 158
41 23 11
42 144 171
43 101 176
44 56 68
45 180 42
46 8 67
47 198 88
48 152 120
49 89 112
50 160 33
51 45 139
52 91 134
53 195 54
54 124 13
55 27 46
56 155 15
57 193 69
58 25 4
59 161 64
60 80 151
61 85 33
62 13 91
63 174 191
64 167 140
65 105 136
66 127 196
67 97 107
68 20 81
69 117 82
70 66 121
71 158 94
72 149 110
73 194 19
74 78 181
75 49 58
76 72 178
77 71 39
78 172 134
79 138 32
80 128 127
81 149 190
82 155 177
83 55 139
84 40 68
85 195 19
86 25 87
87 182 135
88 134 147
89 44 186
90 8 30
91 22 43
92 146 66
93 173 128
94 164 105
95 18 78
96 97 147
97 170 118
98 92 152
99 125 37
