N 100 
0 13 167
1 119 78
2 158 87
3 150 161
4 179 50
5 33 164
6 11 43
7 175 72
8 126 38
9 92 163
10 105 64
11 40 166
12 64 96
13 166 60
14 7 109
15 46 198
16 34 4
17 54 103
18 86 31
19 114 104
20 38 65
21 73 190
22 57 104
23 78 137
24 169 22
25 110 16
26 123 124
27 6 25
28 53 152
29 80 74
30 187 90
31 156 144
32 77 172
33 115 71
34 53 43
35 190 138
36 128 32
37 126 17
38 35 64
39 154 52
40 115 181
41 96 170
42 58 38
43 42 18
44 26 96
45 169 37
46 65 142
47 78 68
48 134 4
49 10 23
50 45 178
51 30 116
52 110 169
53 148 70
54 31 151
55 195 149
56 1 115
57 128 19
58 40 191
59 59 189
60 18 99
61 173 99
62 47 19
63 11 5
64 91 8
65 128 141
66 137 42
67 187 150
68 150 11
69 152 176
70 140 95
71 8 76
72 168 126
73 59 50
74 114 134
75 1 72
76 109 153
77 16 145
78 128 177
79 74 78
80 5 139
81 93 83
82 170 5
83 106 156
84 192 88
85 24 59
86 65 175
87 98 50
88 49 175
89 82 82
90 172 8
91 57 119
92 174 122
93 175 38
94 94 122
95 140 82
96 90 49
97 73 176
98 100 123
99 72 68
