N 100 
0 169 63
1 95 6
2 172 109
3 85 175
4 165 108
5 150 114
6 102 190
7 2 145
8 178 17
9 81 155
10 151 15
11 129 32
12 90 165
13 124 114
14 118 49
15 149 96
16 174 126
17 134 82
18 114 145
19 109 61
20 103 16
21 60 42
22 18 101
23 34 34
24 162 154
25 14 150
26 134 46
27 160 130
28 40 136
29 84 191
30 152 194
31 5 142
32 157 40
33 71 43
34 92 34
35 132 128
36 155 104
37 120 104
38 93 33
39 188 154
40 90 27
41 149 43
42 193 115
43 115 137
44 190 70
45 107 133
46 32 155
47 26 185
48 6 14
49 23 173
50 117 4
51 40 20
52 55 150
53 135 158
54 200 190
55 118 61
56 174 165
57 181 143
58 136 71
59 118 57
60 55 52
61 16 99
62 80 187
63 138 27
64 90 68
65 70 123
66 195 179
67 111 97
68 49 10
69 72 176
70 50 38
71 24 161
72 37 188
73 20 124
74 48 125
75 30 19
76 177 44
77 14 52
78 113 44
79 7 64
80 6 135
81 74 59
82 159 173
83 178 199
84 181 114
85 47 131
86 34 65
87 165 87
88 126 44
89 188 160
90 121 112
91 47 157
92 58 149
93 180 135
94 159 50
95 111 154
96 1 130
97 37 78
98 194 35
99 154 93
