N 100 
0 164 198
1 147 56
2 49 119
3 173 7
4 171 178
5 179 198
6 97 149
7 13 170
8 45 181
9 22 56
10 90 125
11 124 114
12 65 141
13 135 190
14 188 112
15 44 116
16 76 21
17 155 200
18 184 57
19 22 188
20 171 147
21 37 90
22 155 92
23 139 146
24 170 168
25 86 117
26 165 37
27 93 162
28 65 33
29 135 160
30 66 103
31 169 198
32 125 84
33 92 160
34 46 10
35 142 107
36 16 98
37 151 188
38 15 22
39 163 128
40 175 107
41 60 45
42 134 136
43 176 43
44 136 34
45 72 117
46 14 97
47 145 126
48 187 98
49 78 11
50 38 167
51 19 139
52 13 57
53 92 191
54 63 154
55 7 78
56 149 16
57 171 38
58 100 97
59 179 78
60 169 35
61 8 169
62 199 196
63 17 96
64 153 35
65 89 62
66 195 47
67 190 121
68 129 136
69 173 56
70 31 44
71 0 122
72 148 156
73 7 133
74 144 13
75 123 132
76 193 130
77 196 98
78 144 49
79 183 138
80 189 190
81 189 106
82 75 88
83 35 197
84 126 75
85 64 130
86 158 78
87 192 75
88 42 141
89 126 69
90 85 31
91 64 87
92 31 146
93 190 94
94 120 117
95 37 188
96 30 14
97 152 168
98 193 186
99 193 22
