N 100 
0 157 113
1 120 15
2 173 51
3 170 50
4 15 149
5 118 112
6 31 128
7 189 65
8 177 142
9 151 107
10 155 32
11 25 76
12 107 75
13 81 123
14 200 128
15 42 75
16 16 36
17 104 136
18 42 135
19 32 141
20 113 143
21 53 23
22 90 71
23 116 53
24 56 58
25 19 86
26 150 58
27 38 178
28 129 4
29 160 144
30 160 19
31 80 110
32 52 85
33 120 53
34 82 120
35 187 118
36 36 14
37 110 1
38 176 56
39 30 111
40 73 10
41 57 45
42 43 72
43 175 22
44 0 190
45 106 87
46 64 189
47 41 80
48 112 152
49 128 120
50 118 139
51 23 155
52 47 12
53 66 106
54 121 177
55 95 179
56 24 105
57 10 163
58 6 24
59 10 28
60 175 133
61 95 46
62 92 109
63 157 26
64 47 73
65 108 131
66 94 121
67 125 66
68 88 190
69 184 116
70 138 45
71 58 190
72 7 28
73 123 67
74 110 158
75 90 19
76 175 71
77 191 21
78 198 12
79 69 19
80 40 172
81 34 123
82 173 89
83 19 187
84 125 14
85 41 90
86 82 179
87 178 129
88 1 180
89 71 71
90 190 48
91 175 129
92 198 118
93 191 128
94 133 79
95 171 13
96 76 67
97 188 21
98 39 11
99 124 162
