N 100 
0 12 168
1 180 66
2 58 23
3 196 81
4 165 76
5 34 40
6 188 17
7 58 172
8 180 0
9 111 2
10 150 36
11 50 179
12 129 26
13 130 166
14 29 101
15 101 45
16 156 39
17 176 71
18 140 10
19 64 46
20 97 24
21 188 173
22 186 105
23 33 187
24 122 127
25 164 68
26 5 92
27 98 37
28 122 178
29 119 136
30 163 133
31 132 119
32 38 57
33 163 111
34 188 65
35 86 30
36 50 64
37 55 179
38 185 22
39 97 151
40 134 167
41 125 41
42 187 161
43 74 87
44 73 134
45 189 115
46 109 91
47 22 187
48 14 198
49 13 3
50 132 33
51 29 154
52 101 180
53 29 69
54 58 130
55 164 0
56 105 43
57 150 80
58 86 41
59 152 21
60 47 30
61 200 199
62 136 183
63 179 104
64 181 5
65 52 127
66 33 125
67 51 18
68 121 101
69 62 174
70 78 45
71 102 127
72 62 99
73 126 83
74 122 117
75 78 151
76 65 84
77 146 123
78 31 33
79 20 144
80 184 14
81 139 120
82 159 158
83 157 181
84 39 151
85 96 119
86 4 138
87 118 68
88 55 162
89 11 57
90 157 85
91 86 47
92 166 77
93 72 91
94 134 123
95 62 104
96 164 183
97 62 44
98 156 165
99 45 102
