N 100 
0 27 8
1 75 139
2 191 111
3 67 159
4 185 96
5 106 164
6 120 198
7 193 157
8 107 171
9 25 113
10 100 169
11 92 42
12 79 39
13 54 44
14 25 20
15 102 160
16 170 105
17 125 132
18 70 24
19 58 23
20 96 110
21 9 137
22 167 100
23 153 136
24 141 183
25 173 72
26 71 79
27 188 35
28 130 119
29 157 5
30 170 10
31 142 57
32 193 67
33 68 132
34 191 110
35 93 102
36 143 75
37 163 182
38 38 110
39 193 81
40 156 95
41 177 26
42 40 175
43 50 13
44 108 99
45 185 27
46 62 12
47 104 191
48 44 106
49 24 114
50 83 16
51 108 35
52 138 90
53 64 3
54 59 163
55 62 118
56 52 57
57 168 35
58 160 184
59 17 159
60 109 142
61 98 179
62 193 9
63 105 171
64 192 182
65 59 68
66 55 94
67 186 78
68 124 19
69 71 184
70 84 171
71 168 59
72 156 15
73 139 181
74 181 82
75 167 34
76 89 165
77 61 181
78 140 120
79 177 173
80 88 122
81 115 133
82 76 144
83 133 84
84 139 61
85 112 43
86 41 24
87 144 30
88 113 82
89 132 179
90 54 11
91 147 75
92 166 143
93 64 32
94 164 186
95 106 121
96 26 166
97 93 138
98 47 0
99 80 197
