N 100 
0 85 99
1 75 9
2 117 133
3 65 107
4 122 149
5 127 180
6 32 195
7 90 29
8 74 162
9 167 145
10 118 165
11 4 123
12 85 42
13 181 114
14 155 104
15 67 149
16 172 197
17 63 140
18 53 138
19 104 93
20 38 19
21 197 31
22 43 181
23 92 77
24 104 137
25 106 99
26 38 174
27 196 64
28 183 168
29 38 125
30 77 22
31 1 12
32 46 167
33 194 10
34 134 28
35 180 86
36 42 8
37 187 83
38 81 17
39 161 132
40 165 58
41 145 45
42 94 46
43 65 192
44 76 91
45 5 65
46 112 74
47 111 39
48 65 74
49 121 5
50 23 109
51 62 54
52 121 199
53 167 200
54 161 119
55 138 4
56 107 1
57 142 40
58 62 196
59 153 137
60 74 77
61 105 43
62 2 11
63 74 186
64 48 157
65 184 54
66 127 100
67 75 141
68 110 115
69 46 187
70 55 13
71 100 106
72 55 131
73 113 24
74 34 76
75 86 13
76 43 94
77 167 177
78 196 121
79 195 144
80 31 192
81 157 15
82 61 38
83 107 9
84 94 170
85 93 8
86 18 27
87 157 160
88 93 137
89 46 10
90 72 78
91 173 16
92 176 131
93 172 43
94 19 60
95 83 92
96 10 27
97 117 165
98 144 106
99 154 175
