N 100 
0 85 10
1 152 75
2 161 105
3 181 147
4 42 91
5 92 194
6 193 83
7 132 28
8 101 154
9 24 189
10 157 193
11 9 171
12 22 116
13 158 69
14 162 14
15 169 109
16 48 19
17 152 111
18 89 36
19 50 161
20 8 33
21 121 175
22 128 3
23 199 135
24 168 51
25 85 65
26 40 129
27 1 14
28 39 114
29 168 41
30 176 111
31 6 4
32 105 173
33 163 67
34 51 44
35 60 37
36 74 49
37 71 73
38 39 76
39 58 115
40 174 124
41 127 116
42 38 146
43 24 40
44 80 115
45 164 35
46 140 48
47 65 57
48 192 107
49 102 24
50 117 131
51 26 49
52 149 191
53 71 177
54 178 108
55 0 101
56 29 96
57 164 12
58 45 51
59 198 143
60 136 116
61 199 7
62 41 32
63 82 129
64 18 36
65 69 189
66 52 94
67 176 137
68 188 48
69 74 79
70 121 115
71 187 186
72 145 96
73 48 141
74 92 122
75 95 176
76 93 200
77 73 134
78 101 159
79 20 63
80 125 128
81 49 71
82 188 63
83 79 94
84 139 66
85 39 52
86 193 14
87 33 194
88 37 132
89 84 88
90 169 100
91 132 138
92 75 159
93 132 114
94 23 22
95 192 4
96 106 30
97 36 7
98 198 29
99 89 138
