N 100 
0 98 59
1 117 92
2 81 187
3 13 92
4 69 49
5 92 93
6 26 96
7 125 131
8 120 127
9 100 175
10 44 189
11 130 85
12 166 68
13 71 1
14 61 37
15 27 129
16 129 7
17 117 191
18 97 41
19 20 114
20 113 42
21 53 168
22 36 63
23 170 125
24 137 67
25 73 79
26 13 23
27 41 190
28 75 13
29 94 99
30 78 85
31 17 153
32 27 123
33 32 169
34 156 39
35 4 190
36 116 67
37 162 30
38 59 101
39 101 62
40 106 130
41 161 59
42 146 76
43 134 178
44 59 166
45 135 49
46 180 88
47 23 12
48 33 6
49 161 21
50 175 36
51 16 18
52 108 153
53 97 119
54 107 196
55 24 200
56 73 67
57 150 186
58 80 69
59 76 161
60 11 62
61 69 113
62 147 139
63 86 153
64 99 129
65 17 175
66 51 4
67 110 38
68 155 27
69 142 170
70 121 86
71 97 170
72 140 12
73 43 98
74 123 78
75 137 175
76 30 129
77 146 128
78 26 102
79 38 33
80 197 102
81 112 174
82 33 124
83 82 76
84 26 136
85 58 12
86 34 57
87 41 89
88 118 156
89 18 99
90 158 71
91 62 127
92 29 31
93 123 145
94 181 63
95 25 174
96 191 57
97 70 155
98 100 42
99 72 85
