N 100 
0 55 166
1 114 103
2 69 46
3 163 17
4 185 5
5 24 7
6 148 80
7 12 34
8 111 141
9 48 175
10 191 123
11 66 148
12 161 125
13 198 0
14 113 131
15 50 185
16 146 14
17 116 41
18 115 88
19 163 43
20 26 51
21 167 52
22 132 180
23 35 61
24 171 153
25 7 17
26 35 87
27 36 56
28 197 7
29 19 143
30 118 20
31 19 147
32 113 54
33 104 139
34 187 99
35 114 68
36 34 192
37 74 186
38 182 12
39 29 36
40 190 38
41 144 43
42 91 1
43 61 171
44 43 38
45 72 70
46 49 52
47 166 38
48 85 99
49 191 28
50 91 24
51 23 108
52 152 6
53 157 51
54 132 22
55 112 85
56 195 138
57 130 10
58 27 145
59 173 76
60 31 70
61 109 175
62 59 25
63 101 111
64 14 30
65 182 76
66 116 67
67 93 78
68 164 82
69 70 95
70 154 184
71 144 21
72 195 74
73 19 63
74 96 30
75 140 86
76 170 149
77 187 124
78 84 8
79 188 55
80 155 103
81 191 139
82 132 6
83 33 74
84 89 20
85 118 43
86 164 181
87 31 2
88 116 156
89 39 135
90 23 56
91 12 28
92 42 69
93 165 88
94 133 23
95 32 162
96 19 131
97 168 120
98 144 130
99 103 103
