N 100 
0 15 23
1 78 191
2 180 62
3 92 121
4 129 43
5 85 68
6 20 64
7 65 20
8 37 148
9 184 102
10 81 104
11 108 102
12 79 190
13 49 3
14 153 78
15 84 46
16 134 122
17 76 146
18 160 119
19 70 79
20 17 142
21 39 189
22 133 112
23 83 27
24 4 73
25 49 78
26 93 30
27 4 122
28 64 127
29 176 157
30 145 190
31 58 11
32 17 171
33 93 19
34 89 78
35 112 191
36 1 28
37 194 142
38 169 124
39 15 99
40 79 77
41 187 109
42 6 128
43 192 46
44 165 76
45 33 90
46 121 83
47 82 133
48 84 44
49 43 65
50 46 172
51 141 185
52 182 186
53 147 187
54 197 32
55 51 192
56 190 24
57 139 149
58 131 183
59 100 48
60 122 68
61 135 58
62 14 31
63 71 154
64 32 132
65 153 196
66 170 27
67 52 99
68 54 55
69 43 6
70 160 184
71 47 20
72 96 191
73 11 146
74 21 19
75 149 32
76 112 179
77 47 61
78 164 184
79 46 44
80 179 145
81 56 31
82 127 40
83 119 174
84 69 107
85 87 82
86 193 129
87 193 190
88 144 19
89 75 152
90 195 77
91 104 18
92 106 99
93 25 53
94 3 31
95 75 154
96 193 108
97 104 69
98 146 167
99 108 173
