N 100 
0 45 172
1 103 164
2 199 17
3 115 162
4 160 132
5 90 101
6 134 66
7 17 200
8 180 158
9 111 158
10 107 44
11 83 166
12 176 101
13 10 123
14 192 27
15 20 146
16 110 92
17 71 180
18 181 28
19 184 103
20 8 83
21 190 166
22 193 63
23 153 35
24 112 144
25 102 88
26 97 35
27 33 146
28 63 91
29 163 98
30 159 177
31 53 171
32 172 170
33 108 59
34 2 151
35 196 65
36 64 129
37 34 3
38 172 106
39 45 185
40 114 127
41 114 72
42 191 103
43 144 92
44 188 71
45 78 145
46 128 35
47 200 38
48 58 169
49 58 142
50 86 134
51 193 154
52 33 197
53 67 141
54 27 94
55 95 20
56 19 7
57 10 95
58 179 126
59 111 141
60 111 181
61 54 166
62 128 138
63 120 85
64 121 151
65 44 136
66 165 174
67 152 179
68 135 20
69 150 174
70 95 173
71 66 114
72 155 109
73 66 19
74 167 122
75 151 144
76 109 45
77 8 120
78 147 161
79 158 143
80 101 138
81 8 12
82 11 98
83 25 120
84 38 39
85 118 139
86 149 159
87 136 35
88 85 11
89 114 103
90 177 71
91 2 9
92 7 29
93 194 128
94 142 50
95 188 143
96 191 24
97 91 23
98 103 154
99 32 83
