N 100 
0 89 85
1 166 49
2 110 192
3 12 122
4 42 115
5 125 110
6 46 166
7 192 172
8 145 16
9 3 28
10 17 104
11 171 67
12 120 88
13 61 131
14 25 136
15 183 66
16 132 70
17 126 76
18 55 155
19 68 2
20 108 192
21 50 107
22 3 190
23 75 34
24 5 72
25 46 7
26 100 90
27 32 192
28 122 141
29 197 92
30 118 198
31 90 10
32 42 125
33 22 138
34 128 112
35 86 129
36 97 188
37 45 187
38 178 26
39 50 104
40 128 67
41 181 92
42 194 170
43 29 143
44 46 183
45 134 12
46 123 24
47 112 142
48 162 151
49 173 104
50 40 165
51 190 107
52 199 25
53 180 15
54 167 63
55 23 50
56 93 169
57 62 164
58 146 7
59 84 12
60 100 30
61 112 3
62 47 171
63 50 88
64 137 141
65 5 200
66 112 61
67 31 75
68 72 153
69 67 114
70 144 88
71 129 64
72 144 69
73 11 127
74 70 94
75 99 115
76 166 77
77 56 196
78 73 55
79 116 186
80 130 110
81 44 13
82 145 28
83 113 52
84 44 70
85 198 103
86 16 32
87 172 19
88 96 75
89 160 77
90 165 68
91 64 190
92 199 29
93 174 105
94 44 161
95 18 25
96 45 58
97 129 80
98 113 2
99 2 200
