N 100 
0 49 131
1 89 106
2 41 117
3 131 177
4 142 15
5 63 43
6 198 19
7 94 0
8 47 34
9 190 121
10 133 3
11 8 61
12 116 122
13 28 98
14 86 94
15 2 183
16 46 42
17 32 54
18 49 88
19 19 155
20 34 141
21 8 13
22 183 85
23 109 30
24 56 60
25 50 183
26 94 196
27 3 137
28 125 138
29 93 29
30 72 132
31 75 123
32 101 100
33 92 151
34 4 85
35 167 123
36 171 0
37 27 116
38 183 91
39 195 20
40 168 193
41 63 121
42 59 5
43 60 78
44 137 15
45 145 75
46 100 155
47 117 76
48 180 181
49 61 77
50 107 160
51 58 97
52 186 113
53 90 137
54 104 44
55 109 79
56 164 56
57 34 87
58 106 72
59 184 98
60 52 132
61 43 154
62 19 5
63 74 87
64 17 80
65 44 86
66 177 161
67 156 35
68 46 155
69 141 18
70 167 126
71 199 183
72 142 198
73 70 73
74 23 195
75 109 158
76 196 42
77 33 8
78 48 145
79 135 48
80 73 25
81 72 175
82 190 43
83 125 106
84 147 68
85 25 87
86 108 38
87 71 92
88 148 182
89 137 20
90 111 21
91 76 169
92 187 148
93 26 158
94 187 130
95 146 131
96 113 51
97 0 6
98 64 1
99 146 66
