N 100 
0 168 32
1 149 190
2 151 197
3 81 10
4 32 58
5 175 17
6 69 187
7 91 138
8 133 174
9 184 189
10 85 127
11 144 101
12 80 68
13 78 99
14 76 63
15 18 182
16 179 19
17 24 199
18 46 169
19 35 177
20 70 144
21 181 108
22 139 50
23 62 111
24 74 157
25 180 132
26 24 98
27 48 4
28 65 18
29 41 136
30 9 17
31 196 101
32 184 105
33 142 119
34 126 64
35 82 80
36 77 89
37 58 59
38 172 127
39 141 190
40 39 57
41 90 143
42 46 83
43 161 54
44 66 7
45 31 114
46 48 173
47 96 10
48 48 131
49 196 145
50 28 146
51 123 158
52 197 156
53 106 162
54 16 59
55 14 162
56 5 34
57 102 173
58 135 187
59 154 163
60 98 74
61 42 91
62 174 142
63 163 192
64 67 59
65 51 27
66 62 47
67 29 151
68 161 34
69 66 45
70 73 7
71 17 28
72 29 80
73 11 54
74 180 127
75 148 131
76 122 86
77 83 156
78 13 156
79 91 17
80 37 139
81 35 15
82 89 68
83 13 70
84 149 26
85 156 156
86 87 54
87 90 159
88 85 40
89 151 154
90 20 81
91 89 179
92 11 73
93 145 91
94 187 93
95 115 200
96 147 14
97 103 161
98 73 123
99 67 115
