N 100 
0 162 52
1 5 26
2 152 186
3 147 27
4 120 36
5 186 179
6 137 159
7 101 88
8 115 46
9 56 38
10 34 102
11 146 43
12 154 141
13 153 169
14 160 5
15 41 71
16 165 6
17 153 45
18 174 91
19 19 77
20 149 105
21 153 124
22 43 58
23 166 87
24 19 98
25 27 140
26 178 152
27 166 128
28 51 3
29 78 15
30 18 73
31 45 26
32 47 2
33 22 169
34 185 90
35 171 160
36 149 78
37 160 154
38 80 118
39 16 172
40 154 43
41 24 46
42 161 128
43 116 163
44 55 94
45 78 35
46 187 25
47 35 188
48 103 13
49 155 38
50 168 5
51 78 66
52 19 140
53 190 119
54 120 137
55 90 192
56 95 109
57 28 160
58 159 78
59 55 79
60 20 90
61 111 148
62 156 171
63 69 14
64 70 21
65 94 58
66 197 181
67 26 159
68 119 149
69 163 123
70 0 31
71 21 188
72 163 177
73 97 194
74 199 24
75 180 67
76 36 61
77 179 41
78 131 58
79 48 157
80 198 150
81 117 155
82 8 171
83 61 132
84 183 180
85 1 86
86 125 102
87 57 43
88 183 174
89 122 61
90 184 142
91 81 70
92 192 47
93 105 186
94 118 73
95 190 38
96 65 147
97 82 60
98 100 9
99 84 143
