N 100 
0 180 185
1 104 175
2 74 4
3 59 155
4 36 116
5 94 183
6 65 56
7 77 121
8 78 43
9 165 27
10 173 66
11 42 54
12 169 19
13 142 197
14 55 182
15 29 129
16 128 40
17 110 123
18 160 144
19 179 16
20 74 156
21 67 58
22 192 41
23 193 136
24 166 110
25 180 53
26 35 23
27 93 40
28 137 13
29 140 51
30 69 180
31 184 186
32 171 199
33 91 90
34 45 106
35 35 5
36 77 37
37 119 192
38 120 83
39 151 62
40 174 121
41 195 172
42 177 122
43 33 171
44 151 78
45 128 42
46 111 18
47 153 142
48 37 112
49 140 30
50 190 199
51 68 114
52 3 55
53 120 84
54 163 110
55 70 177
56 93 16
57 22 153
58 126 8
59 35 165
60 106 167
61 88 116
62 28 46
63 176 184
64 96 36
65 181 157
66 90 147
67 45 179
68 34 46
69 4 160
70 164 157
71 131 79
72 109 81
73 16 150
74 93 141
75 165 86
76 27 34
77 5 30
78 145 169
79 59 75
80 97 66
81 81 86
82 151 2
83 13 128
84 83 128
85 82 99
86 56 45
87 8 50
88 145 62
89 114 127
90 151 51
91 9 136
92 116 38
93 63 33
94 193 16
95 12 59
96 30 20
97 12 169
98 124 189
99 93 12
