N 100 
0 23 27
1 89 60
2 152 113
3 135 169
4 140 124
5 162 168
6 197 51
7 67 38
8 120 175
9 200 106
10 92 174
11 159 181
12 43 47
13 89 50
14 176 126
15 188 180
16 44 170
17 168 38
18 152 146
19 22 156
20 40 94
21 115 101
22 38 132
23 149 169
24 84 117
25 71 63
26 47 68
27 165 183
28 186 1
29 140 76
30 105 138
31 26 112
32 119 24
33 50 17
34 164 73
35 47 85
36 150 106
37 91 78
38 119 169
39 67 145
40 49 42
41 95 3
42 11 39
43 83 11
44 83 161
45 130 4
46 89 132
47 127 72
48 29 150
49 93 163
50 167 7
51 46 31
52 133 200
53 184 107
54 38 99
55 85 75
56 59 173
57 143 10
58 165 5
59 155 5
60 132 193
61 16 195
62 110 89
63 95 58
64 30 135
65 26 61
66 186 102
67 26 10
68 117 177
69 166 88
70 166 74
71 130 151
72 95 5
73 171 191
74 184 191
75 106 32
76 94 69
77 131 152
78 176 107
79 160 177
80 104 112
81 51 94
82 102 118
83 25 63
84 99 109
85 163 136
86 161 172
87 192 82
88 60 135
89 87 183
90 93 26
91 179 27
92 110 127
93 193 139
94 155 41
95 98 119
96 34 132
97 150 12
98 31 87
99 35 192
