N 100 
0 8 192
1 143 5
2 165 139
3 76 161
4 78 7
5 162 196
6 175 116
7 132 137
8 47 80
9 137 198
10 2 165
11 179 109
12 95 87
13 171 187
14 189 156
15 191 136
16 139 177
17 151 196
18 160 82
19 54 112
20 174 100
21 128 64
22 116 62
23 80 92
24 108 92
25 139 121
26 140 102
27 196 109
28 123 134
29 54 62
30 109 148
31 126 54
32 47 117
33 194 127
34 67 166
35 143 107
36 40 62
37 30 166
38 6 172
39 148 104
40 101 114
41 101 141
42 28 152
43 0 155
44 191 33
45 97 98
46 88 64
47 150 37
48 175 126
49 161 163
50 136 51
51 28 46
52 148 50
53 89 6
54 85 71
55 136 142
56 126 145
57 63 156
58 110 120
59 93 13
60 30 23
61 137 3
62 29 182
63 99 180
64 133 164
65 42 100
66 174 91
67 128 51
68 163 97
69 188 116
70 130 59
71 118 176
72 32 27
73 173 63
74 90 89
75 158 160
76 0 111
77 167 106
78 89 158
79 28 104
80 191 169
81 138 111
82 194 75
83 7 187
84 20 123
85 165 120
86 49 119
87 108 123
88 63 54
89 48 107
90 147 22
91 33 103
92 100 29
93 161 50
94 98 168
95 153 25
96 116 40
97 165 159
98 17 69
99 148 58
