N 100 
0 42 81
1 163 166
2 12 170
3 75 4
4 56 93
5 115 164
6 43 151
7 4 45
8 145 16
9 137 185
10 123 56
11 172 21
12 173 28
13 128 147
14 75 3
15 119 200
16 106 67
17 64 27
18 40 25
19 135 91
20 192 155
21 195 137
22 168 63
23 110 85
24 92 78
25 24 199
26 191 164
27 134 178
28 95 198
29 35 200
30 185 173
31 45 111
32 15 34
33 147 137
34 34 103
35 121 129
36 18 131
37 152 185
38 129 63
39 113 108
40 65 126
41 107 26
42 104 70
43 85 127
44 122 25
45 11 128
46 141 22
47 147 182
48 52 199
49 18 8
50 86 91
51 40 7
52 98 174
53 19 142
54 153 84
55 200 117
56 187 128
57 138 4
58 194 97
59 79 59
60 138 125
61 11 76
62 80 113
63 44 23
64 119 126
65 31 174
66 169 113
67 111 19
68 91 140
69 20 194
70 38 123
71 146 111
72 174 141
73 185 115
74 19 79
75 143 76
76 96 37
77 4 82
78 152 136
79 180 75
80 59 48
81 154 48
82 11 12
83 78 115
84 128 42
85 194 100
86 43 133
87 41 199
88 78 182
89 117 33
90 96 41
91 36 134
92 112 191
93 34 63
94 30 12
95 77 80
96 164 146
97 122 110
98 102 114
99 101 109
