N 100 
0 92 30
1 145 200
2 71 171
3 175 70
4 15 40
5 75 181
6 188 73
7 54 23
8 37 185
9 134 65
10 175 152
11 91 77
12 4 61
13 91 115
14 108 86
15 188 135
16 112 7
17 30 111
18 141 115
19 89 85
20 145 109
21 149 108
22 67 152
23 116 22
24 23 160
25 9 28
26 139 5
27 80 15
28 34 64
29 11 177
30 165 29
31 27 119
32 112 138
33 66 99
34 151 186
35 41 71
36 146 183
37 120 155
38 31 54
39 150 86
40 188 83
41 169 65
42 39 81
43 186 131
44 126 88
45 7 196
46 72 167
47 177 120
48 147 101
49 98 46
50 159 118
51 200 64
52 128 110
53 31 111
54 150 120
55 119 176
56 22 195
57 20 52
58 97 171
59 5 126
60 34 87
61 75 93
62 79 175
63 91 102
64 41 34
65 182 132
66 60 145
67 27 82
68 66 46
69 78 149
70 182 41
71 59 17
72 165 5
73 164 168
74 48 41
75 12 87
76 111 113
77 197 163
78 123 71
79 81 72
80 27 192
81 195 146
82 198 73
83 171 53
84 71 179
85 119 71
86 155 160
87 143 168
88 4 129
89 69 100
90 23 184
91 146 0
92 61 127
93 16 141
94 99 12
95 42 118
96 158 18
97 62 107
98 131 8
99 61 42
