N 100 
0 118 168
1 147 59
2 170 53
3 152 126
4 83 197
5 119 46
6 67 26
7 176 123
8 164 81
9 4 92
10 13 111
11 147 1
12 110 1
13 52 8
14 19 151
15 81 71
16 145 164
17 56 139
18 145 3
19 132 13
20 168 102
21 18 180
22 33 27
23 140 13
24 66 11
25 192 5
26 125 123
27 126 111
28 154 187
29 131 163
30 158 153
31 192 101
32 23 125
33 95 166
34 161 6
35 81 99
36 180 19
37 40 143
38 199 15
39 159 142
40 33 181
41 62 31
42 75 59
43 102 20
44 57 84
45 93 46
46 81 178
47 48 114
48 63 171
49 196 2
50 190 26
51 82 76
52 154 137
53 112 182
54 33 26
55 179 150
56 82 179
57 168 110
58 180 0
59 41 174
60 33 167
61 176 75
62 107 73
63 155 8
64 92 118
65 45 95
66 100 75
67 71 82
68 117 200
69 127 72
70 84 82
71 142 57
72 122 71
73 189 39
74 122 6
75 34 21
76 168 13
77 10 20
78 196 155
79 31 44
80 183 64
81 73 42
82 5 188
83 188 77
84 136 162
85 52 187
86 98 19
87 114 95
88 156 74
89 79 78
90 72 128
91 139 56
92 142 110
93 24 96
94 76 171
95 105 79
96 162 7
97 179 44
98 154 186
99 36 123
