N 100 
0 44 64
1 75 178
2 128 109
3 28 65
4 68 148
5 122 107
6 112 63
7 99 185
8 151 123
9 89 43
10 125 57
11 108 38
12 136 165
13 165 8
14 51 20
15 73 142
16 21 138
17 69 51
18 156 194
19 77 50
20 172 61
21 151 166
22 20 41
23 88 7
24 146 163
25 148 63
26 140 139
27 173 47
28 5 200
29 128 160
30 125 141
31 140 12
32 179 100
33 33 125
34 182 153
35 176 127
36 171 45
37 81 191
38 96 86
39 141 75
40 52 16
41 184 77
42 95 20
43 41 106
44 81 181
45 176 135
46 162 54
47 136 193
48 79 117
49 64 61
50 58 107
51 19 172
52 11 40
53 91 61
54 172 89
55 33 88
56 46 13
57 169 32
58 192 191
59 84 29
60 76 189
61 60 46
62 30 119
63 122 78
64 169 29
65 41 165
66 134 149
67 114 82
68 200 87
69 24 3
70 182 112
71 176 3
72 49 98
73 7 133
74 200 46
75 164 168
76 127 69
77 164 199
78 60 161
79 98 145
80 126 38
81 79 39
82 197 126
83 120 141
84 103 154
85 153 182
86 92 61
87 43 84
88 99 189
89 170 40
90 67 187
91 80 42
92 58 128
93 108 5
94 169 52
95 124 132
96 13 22
97 33 66
98 32 125
99 188 75
