N 100 
0 99 179
1 16 173
2 150 200
3 199 132
4 12 199
5 0 46
6 70 94
7 124 67
8 83 168
9 89 2
10 36 72
11 188 169
12 186 71
13 59 133
14 187 3
15 154 0
16 51 126
17 136 1
18 36 47
19 144 185
20 132 54
21 18 159
22 27 54
23 29 123
24 169 26
25 131 152
26 51 163
27 8 99
28 179 82
29 165 138
30 89 182
31 29 91
32 105 136
33 69 41
34 134 44
35 161 78
36 154 40
37 59 94
38 199 188
39 32 188
40 111 76
41 80 97
42 63 107
43 7 74
44 73 137
45 199 91
46 37 151
47 84 100
48 171 161
49 20 88
50 172 126
51 109 129
52 89 164
53 10 69
54 114 29
55 165 119
56 188 30
57 162 28
58 92 109
59 196 97
60 70 156
61 18 182
62 124 140
63 0 119
64 83 66
65 63 111
66 63 27
67 47 81
68 64 92
69 27 53
70 8 133
71 82 85
72 32 55
73 155 180
74 30 136
75 83 100
76 67 27
77 171 96
78 5 43
79 63 85
80 97 41
81 31 24
82 73 76
83 113 66
84 183 126
85 49 51
86 70 154
87 106 75
88 90 144
89 131 161
90 129 86
91 92 127
92 45 29
93 193 81
94 53 59
95 179 61
96 23 175
97 139 8
98 44 176
99 23 10
