N 100 
0 63 152
1 89 130
2 12 122
3 86 91
4 30 186
5 158 145
6 90 72
7 166 58
8 69 94
9 66 47
10 1 161
11 155 99
12 173 159
13 92 7
14 150 32
15 77 144
16 88 89
17 39 131
18 70 4
19 44 42
20 24 108
21 47 103
22 15 58
23 149 162
24 12 127
25 167 26
26 74 167
27 95 192
28 68 64
29 168 58
30 70 79
31 108 123
32 134 95
33 134 144
34 34 61
35 121 39
36 84 6
37 18 42
38 124 113
39 147 61
40 186 77
41 40 84
42 171 130
43 86 118
44 83 113
45 50 2
46 17 40
47 11 188
48 61 137
49 12 184
50 88 121
51 75 86
52 28 104
53 81 124
54 80 47
55 157 53
56 166 13
57 102 18
58 191 47
59 179 150
60 27 49
61 52 176
62 176 97
63 186 66
64 157 4
65 108 147
66 109 48
67 162 165
68 45 173
69 72 197
70 26 182
71 58 3
72 135 53
73 1 176
74 160 2
75 97 45
76 12 166
77 184 193
78 169 93
79 173 170
80 34 120
81 155 62
82 84 85
83 52 77
84 121 49
85 125 31
86 198 37
87 143 189
88 147 21
89 6 114
90 145 152
91 125 75
92 41 48
93 14 153
94 195 131
95 42 6
96 84 38
97 58 38
98 174 175
99 144 124
