N 100 
0 57 9
1 3 54
2 86 73
3 27 80
4 103 10
5 116 44
6 69 154
7 124 183
8 181 194
9 191 6
10 33 11
11 118 31
12 156 31
13 48 16
14 95 84
15 30 95
16 71 51
17 64 138
18 6 153
19 167 54
20 104 111
21 64 78
22 171 73
23 149 53
24 72 155
25 173 4
26 41 20
27 102 107
28 66 124
29 46 2
30 1 66
31 133 84
32 126 178
33 15 107
34 45 151
35 52 116
36 118 10
37 58 93
38 179 171
39 152 48
40 133 46
41 142 104
42 199 4
43 90 16
44 180 100
45 26 142
46 110 152
47 123 69
48 36 165
49 16 178
50 70 150
51 137 150
52 145 102
53 11 199
54 192 40
55 200 62
56 24 170
57 175 143
58 196 0
59 173 3
60 3 56
61 118 76
62 24 90
63 129 187
64 55 159
65 52 84
66 92 153
67 186 157
68 159 138
69 102 193
70 38 183
71 37 104
72 60 133
73 98 94
74 66 33
75 123 30
76 135 200
77 74 13
78 120 116
79 123 143
80 4 78
81 153 18
82 141 48
83 122 87
84 6 84
85 89 129
86 37 200
87 54 164
88 84 143
89 140 136
90 41 196
91 162 4
92 0 79
93 71 144
94 154 173
95 49 141
96 87 191
97 96 81
98 184 33
99 41 128
