N 100 
0 88 169
1 187 21
2 199 1
3 135 134
4 100 85
5 108 62
6 103 31
7 53 79
8 87 57
9 78 43
10 51 84
11 183 166
12 171 141
13 120 82
14 115 198
15 81 114
16 166 95
17 172 35
18 124 157
19 157 138
20 134 43
21 178 50
22 101 29
23 77 131
24 101 2
25 94 94
26 101 186
27 181 65
28 124 174
29 148 31
30 5 83
31 176 175
32 122 190
33 68 168
34 144 102
35 29 155
36 137 189
37 85 29
38 91 150
39 93 5
40 172 78
41 166 0
42 138 57
43 131 194
44 70 198
45 195 21
46 69 80
47 63 59
48 95 10
49 168 97
50 143 195
51 172 175
52 18 6
53 111 17
54 110 195
55 93 55
56 52 8
57 2 150
58 9 189
59 37 111
60 123 26
61 87 152
62 89 122
63 188 19
64 157 85
65 24 197
66 89 90
67 30 2
68 136 52
69 84 82
70 12 22
71 116 119
72 68 124
73 61 153
74 191 43
75 35 120
76 72 81
77 171 134
78 39 158
79 64 148
80 189 5
81 153 125
82 115 93
83 161 168
84 100 13
85 127 173
86 61 52
87 85 142
88 134 38
89 97 151
90 66 37
91 147 105
92 113 77
93 52 71
94 13 104
95 95 18
96 191 189
97 75 143
98 150 8
99 181 105
