N 100 
0 62 61
1 174 34
2 190 184
3 8 80
4 130 88
5 172 143
6 101 190
7 66 23
8 22 152
9 169 182
10 43 8
11 108 33
12 41 101
13 135 178
14 107 189
15 145 151
16 59 156
17 166 51
18 160 189
19 196 200
20 159 63
21 86 62
22 115 25
23 144 193
24 25 87
25 147 200
26 95 118
27 25 197
28 134 37
29 97 164
30 113 184
31 28 37
32 200 87
33 99 165
34 84 149
35 143 163
36 136 64
37 45 98
38 49 48
39 48 74
40 133 8
41 76 22
42 78 174
43 70 155
44 200 199
45 13 156
46 60 78
47 55 61
48 197 165
49 64 197
50 93 183
51 93 11
52 135 46
53 197 124
54 107 121
55 165 175
56 98 55
57 159 172
58 126 26
59 168 127
60 43 144
61 30 184
62 191 126
63 171 69
64 167 14
65 70 78
66 41 177
67 127 107
68 38 162
69 165 96
70 57 12
71 57 14
72 5 92
73 46 137
74 195 34
75 82 152
76 143 161
77 122 24
78 114 170
79 139 85
80 167 0
81 128 127
82 123 165
83 150 111
84 98 1
85 181 150
86 25 80
87 118 123
88 23 18
89 109 124
90 44 5
91 107 173
92 100 174
93 126 5
94 63 55
95 178 82
96 94 28
97 143 128
98 45 196
99 66 124
