N 100 
0 200 70
1 177 177
2 180 126
3 56 17
4 34 176
5 192 90
6 61 64
7 199 11
8 29 162
9 151 123
10 99 18
11 117 43
12 178 86
13 83 166
14 152 32
15 146 81
16 88 76
17 111 185
18 40 92
19 188 32
20 86 156
21 110 26
22 189 98
23 176 21
24 45 195
25 186 17
26 188 161
27 42 78
28 95 128
29 140 30
30 197 200
31 40 126
32 117 11
33 24 163
34 144 142
35 30 83
36 34 163
37 73 83
38 120 105
39 180 109
40 126 132
41 71 191
42 65 92
43 35 50
44 46 166
45 57 185
46 117 30
47 133 182
48 174 197
49 87 41
50 123 36
51 185 181
52 87 61
53 54 57
54 171 25
55 5 88
56 160 160
57 114 101
58 163 83
59 97 183
60 142 60
61 181 6
62 156 171
63 62 78
64 60 17
65 147 26
66 7 176
67 87 110
68 96 2
69 109 174
70 93 0
71 12 182
72 126 14
73 87 25
74 37 200
75 17 167
76 16 184
77 24 95
78 151 20
79 24 65
80 43 62
81 175 12
82 68 107
83 103 3
84 19 154
85 166 27
86 56 11
87 43 183
88 98 159
89 60 70
90 114 188
91 77 148
92 109 84
93 18 133
94 70 122
95 178 73
96 21 94
97 141 96
98 52 165
99 92 173
