N 100 
0 21 120
1 156 105
2 106 183
3 195 23
4 159 99
5 40 133
6 142 174
7 183 101
8 53 187
9 111 199
10 40 189
11 38 200
12 146 199
13 59 49
14 79 91
15 47 166
16 65 69
17 173 22
18 38 197
19 173 26
20 62 73
21 74 41
22 39 1
23 170 106
24 84 99
25 83 196
26 96 31
27 116 61
28 181 79
29 140 38
30 18 50
31 47 137
32 183 135
33 184 75
34 123 27
35 175 88
36 38 154
37 166 68
38 69 7
39 136 0
40 42 126
41 188 103
42 17 44
43 152 94
44 24 28
45 21 105
46 125 33
47 31 2
48 151 28
49 159 2
50 72 187
51 17 90
52 73 37
53 195 119
54 106 195
55 179 192
56 34 173
57 59 34
58 131 99
59 150 159
60 172 185
61 149 0
62 74 143
63 171 91
64 72 188
65 59 117
66 44 164
67 61 38
68 105 41
69 95 112
70 113 103
71 132 138
72 97 138
73 191 178
74 22 15
75 5 150
76 87 114
77 145 59
78 79 108
79 127 3
80 31 198
81 180 31
82 76 29
83 153 149
84 123 3
85 2 128
86 186 7
87 164 44
88 20 103
89 36 124
90 150 76
91 99 13
92 187 121
93 191 143
94 53 21
95 154 1
96 38 121
97 128 64
98 120 151
99 166 26
