N 100 
0 18 176
1 161 183
2 59 37
3 42 57
4 24 42
5 103 63
6 52 113
7 109 39
8 98 28
9 31 102
10 58 74
11 83 94
12 77 117
13 137 59
14 186 60
15 75 126
16 60 55
17 37 113
18 18 169
19 169 183
20 171 55
21 60 123
22 63 13
23 91 101
24 116 184
25 142 165
26 77 76
27 166 71
28 40 47
29 118 150
30 186 105
31 114 30
32 41 195
33 34 134
34 132 99
35 70 38
36 165 155
37 175 55
38 4 109
39 122 184
40 153 87
41 166 123
42 82 192
43 122 69
44 183 34
45 148 57
46 99 176
47 179 178
48 19 118
49 148 72
50 181 155
51 8 179
52 164 154
53 111 2
54 162 125
55 32 77
56 181 195
57 175 63
58 146 76
59 37 80
60 123 118
61 144 167
62 39 91
63 19 50
64 104 7
65 172 82
66 198 62
67 59 49
68 179 158
69 29 115
70 41 160
71 22 84
72 114 105
73 2 111
74 181 62
75 120 127
76 79 76
77 12 141
78 79 36
79 150 22
80 11 80
81 4 7
82 0 33
83 12 144
84 62 124
85 142 101
86 21 159
87 85 32
88 158 104
89 42 9
90 172 128
91 133 182
92 30 15
93 13 151
94 187 47
95 5 63
96 25 25
97 200 24
98 123 88
99 138 44
