N 100 
0 141 145
1 170 138
2 158 143
3 112 190
4 29 15
5 138 200
6 149 182
7 137 57
8 61 109
9 162 123
10 55 53
11 109 177
12 46 145
13 30 179
14 11 53
15 15 127
16 70 5
17 1 175
18 3 163
19 15 111
20 139 100
21 113 109
22 148 192
23 96 148
24 37 163
25 186 87
26 15 56
27 42 193
28 175 81
29 101 42
30 193 132
31 102 113
32 4 64
33 195 73
34 135 171
35 141 6
36 183 157
37 94 186
38 93 12
39 135 131
40 124 42
41 155 45
42 178 64
43 114 45
44 156 110
45 134 76
46 102 192
47 42 21
48 178 153
49 198 191
50 200 158
51 70 65
52 23 75
53 99 94
54 155 94
55 58 83
56 35 144
57 23 194
58 189 51
59 62 151
60 190 173
61 73 85
62 139 120
63 158 190
64 14 176
65 23 17
66 96 0
67 141 5
68 130 96
69 82 157
70 21 146
71 14 172
72 173 71
73 190 11
74 137 98
75 185 45
76 106 132
77 116 9
78 130 193
79 39 146
80 63 34
81 130 137
82 185 117
83 33 122
84 12 44
85 106 42
86 76 83
87 164 90
88 188 51
89 99 77
90 11 149
91 81 174
92 129 168
93 84 132
94 35 125
95 39 167
96 29 23
97 42 188
98 178 114
99 132 120
