N 100 
0 91 24
1 106 38
2 155 110
3 178 32
4 171 177
5 25 173
6 144 117
7 27 78
8 154 161
9 85 129
10 52 78
11 111 125
12 195 41
13 41 174
14 178 184
15 20 152
16 68 51
17 9 128
18 156 137
19 21 136
20 131 100
21 102 120
22 134 138
23 90 128
24 81 109
25 117 130
26 185 112
27 16 92
28 124 77
29 184 123
30 98 176
31 132 17
32 144 179
33 160 171
34 46 21
35 134 31
36 125 179
37 143 187
38 127 132
39 170 120
40 148 107
41 105 75
42 185 138
43 189 189
44 17 94
45 137 31
46 117 47
47 39 28
48 136 159
49 50 182
50 30 132
51 32 5
52 140 81
53 127 41
54 109 175
55 131 0
56 199 37
57 192 120
58 42 74
59 158 176
60 46 200
61 13 26
62 198 27
63 140 191
64 93 72
65 26 21
66 77 16
67 77 34
68 102 71
69 45 198
70 43 113
71 51 193
72 172 32
73 52 139
74 59 96
75 147 189
76 45 86
77 50 57
78 23 22
79 186 13
80 103 151
81 80 187
82 110 69
83 150 194
84 200 126
85 11 170
86 190 4
87 166 114
88 45 192
89 48 114
90 152 53
91 80 149
92 149 32
93 193 155
94 162 14
95 147 34
96 154 41
97 183 104
98 46 176
99 31 43
