N 100 
0 16 85
1 81 142
2 153 126
3 91 65
4 125 141
5 27 30
6 23 173
7 12 85
8 156 66
9 162 26
10 105 174
11 99 39
12 52 154
13 178 188
14 190 199
15 140 106
16 157 56
17 116 16
18 196 33
19 43 146
20 164 138
21 195 38
22 32 182
23 1 155
24 78 69
25 193 107
26 156 54
27 48 0
28 95 148
29 76 171
30 75 92
31 45 22
32 156 166
33 94 179
34 9 147
35 21 80
36 136 70
37 126 45
38 147 113
39 152 146
40 196 78
41 64 57
42 48 2
43 104 200
44 172 35
45 166 76
46 58 155
47 67 134
48 42 194
49 109 58
50 20 71
51 91 163
52 188 21
53 186 175
54 179 24
55 176 104
56 57 86
57 0 165
58 136 73
59 141 193
60 55 58
61 11 128
62 23 34
63 70 176
64 189 89
65 96 70
66 100 196
67 200 37
68 43 166
69 31 103
70 77 29
71 5 119
72 71 61
73 48 24
74 53 147
75 136 183
76 146 10
77 141 50
78 123 82
79 0 193
80 15 128
81 40 45
82 36 87
83 1 11
84 179 166
85 37 36
86 152 75
87 46 171
88 2 24
89 197 41
90 90 30
91 194 53
92 17 40
93 65 96
94 200 51
95 103 161
96 73 37
97 51 55
98 57 124
99 172 24
