N 100 
0 142 196
1 165 49
2 197 49
3 78 14
4 62 122
5 198 43
6 58 151
7 23 84
8 148 170
9 109 169
10 71 11
11 19 191
12 176 182
13 44 152
14 60 26
15 157 30
16 85 73
17 37 115
18 117 188
19 95 60
20 88 89
21 174 19
22 102 34
23 33 39
24 112 65
25 169 171
26 125 184
27 83 198
28 186 14
29 102 84
30 163 140
31 89 40
32 95 108
33 107 53
34 200 13
35 54 153
36 158 54
37 85 149
38 21 135
39 36 12
40 95 129
41 144 18
42 40 101
43 29 33
44 148 157
45 120 84
46 167 126
47 184 40
48 160 127
49 54 189
50 79 151
51 121 82
52 101 183
53 68 185
54 144 124
55 149 86
56 103 22
57 79 98
58 55 160
59 112 101
60 66 72
61 63 54
62 78 89
63 60 57
64 133 24
65 59 47
66 133 34
67 189 4
68 20 69
69 35 7
70 24 119
71 132 178
72 169 45
73 171 15
74 178 180
75 112 60
76 121 63
77 83 173
78 192 68
79 110 183
80 17 114
81 20 199
82 29 114
83 142 188
84 190 19
85 77 7
86 197 62
87 187 78
88 67 171
89 14 73
90 197 137
91 58 112
92 166 33
93 107 13
94 143 147
95 62 24
96 22 194
97 177 67
98 36 119
99 151 48
