N 100 
0 122 189
1 51 3
2 116 191
3 126 169
4 158 153
5 191 104
6 3 133
7 161 36
8 127 67
9 121 126
10 99 73
11 121 156
12 74 186
13 120 65
14 196 152
15 45 188
16 5 126
17 96 16
18 121 187
19 20 153
20 97 27
21 195 184
22 97 168
23 58 106
24 75 111
25 52 114
26 176 5
27 68 168
28 187 40
29 37 123
30 26 26
31 28 129
32 25 48
33 134 35
34 76 163
35 167 158
36 155 91
37 172 167
38 52 100
39 13 15
40 55 60
41 129 5
42 42 16
43 52 145
44 13 55
45 199 25
46 4 1
47 85 83
48 164 57
49 122 113
50 123 152
51 99 54
52 142 99
53 90 76
54 158 3
55 45 142
56 106 62
57 83 36
58 178 197
59 61 200
60 25 88
61 20 37
62 8 122
63 7 9
64 147 4
65 33 119
66 161 100
67 73 72
68 92 106
69 64 181
70 132 41
71 157 26
72 172 72
73 200 117
74 38 67
75 193 159
76 66 168
77 76 161
78 20 123
79 65 11
80 149 7
81 41 10
82 139 25
83 186 93
84 178 38
85 114 142
86 108 99
87 55 197
88 54 37
89 192 159
90 135 151
91 180 131
92 161 64
93 117 158
94 123 12
95 20 20
96 130 122
97 14 84
98 64 200
99 184 136
