N 100 
0 103 39
1 119 171
2 4 32
3 3 158
4 151 169
5 82 134
6 55 16
7 170 69
8 33 60
9 8 14
10 114 13
11 149 94
12 18 197
13 111 61
14 178 107
15 43 26
16 76 114
17 44 62
18 46 72
19 194 194
20 113 52
21 80 103
22 19 5
23 53 79
24 30 67
25 123 29
26 77 133
27 30 40
28 1 36
29 122 56
30 130 69
31 154 41
32 107 120
33 84 7
34 105 185
35 175 155
36 92 65
37 51 81
38 129 150
39 188 161
40 171 113
41 102 126
42 88 102
43 114 181
44 75 155
45 175 73
46 188 128
47 44 3
48 113 45
49 114 185
50 86 27
51 71 67
52 41 38
53 65 125
54 183 176
55 126 147
56 200 175
57 181 60
58 172 9
59 190 188
60 182 69
61 190 49
62 0 39
63 102 100
64 29 146
65 20 23
66 127 95
67 139 145
68 13 135
69 195 161
70 115 49
71 116 192
72 198 190
73 192 50
74 124 182
75 112 16
76 82 11
77 87 26
78 113 162
79 29 93
80 20 139
81 27 46
82 23 39
83 53 147
84 137 186
85 31 140
86 180 106
87 103 195
88 188 29
89 179 133
90 181 85
91 82 85
92 122 87
93 104 81
94 39 117
95 164 54
96 40 193
97 27 13
98 46 175
99 41 98
