N 100 
0 37 137
1 65 107
2 143 117
3 106 116
4 180 160
5 3 66
6 65 171
7 135 42
8 27 58
9 164 108
10 51 139
11 195 25
12 129 12
13 49 30
14 159 105
15 157 31
16 34 120
17 90 8
18 103 198
19 126 50
20 14 8
21 101 37
22 128 14
23 90 101
24 37 37
25 58 13
26 36 83
27 30 74
28 7 174
29 98 113
30 106 140
31 111 7
32 169 163
33 34 192
34 44 36
35 82 154
36 40 27
37 99 177
38 97 43
39 25 72
40 118 113
41 152 93
42 159 149
43 192 154
44 130 104
45 7 86
46 192 103
47 103 24
48 175 115
49 115 122
50 145 115
51 35 143
52 77 64
53 124 102
54 178 142
55 131 135
56 36 116
57 80 138
58 36 148
59 66 74
60 139 165
61 186 153
62 121 20
63 78 93
64 62 67
65 140 147
66 149 74
67 94 66
68 24 3
69 44 142
70 88 12
71 198 1
72 72 92
73 120 177
74 41 85
75 6 148
76 200 29
77 188 194
78 136 113
79 67 167
80 119 69
81 165 112
82 106 11
83 115 131
84 145 193
85 160 17
86 102 9
87 191 88
88 23 20
89 0 44
90 27 48
91 64 132
92 96 112
93 155 102
94 89 154
95 76 77
96 46 44
97 115 2
98 87 77
99 37 139
