N 100 
0 74 7
1 62 129
2 84 100
3 82 84
4 144 174
5 110 183
6 53 125
7 189 170
8 118 82
9 178 75
10 198 19
11 153 146
12 92 179
13 6 137
14 39 1
15 103 154
16 137 4
17 61 183
18 57 89
19 70 104
20 171 172
21 159 72
22 43 14
23 8 106
24 50 66
25 196 89
26 151 156
27 184 150
28 148 186
29 88 103
30 160 82
31 101 36
32 188 116
33 87 178
34 180 152
35 47 28
36 150 89
37 62 84
38 70 112
39 77 173
40 50 36
41 189 63
42 117 31
43 92 13
44 151 58
45 95 58
46 197 146
47 27 143
48 180 70
49 75 103
50 97 27
51 136 46
52 45 164
53 168 19
54 114 25
55 169 86
56 101 127
57 8 108
58 125 97
59 48 97
60 172 195
61 54 73
62 3 92
63 163 133
64 100 1
65 22 180
66 42 22
67 53 128
68 43 189
69 151 113
70 155 43
71 134 51
72 47 174
73 108 148
74 59 96
75 189 67
76 72 1
77 117 9
78 187 60
79 141 179
80 107 92
81 73 137
82 63 49
83 193 168
84 181 34
85 139 10
86 122 147
87 34 115
88 114 117
89 168 162
90 132 72
91 18 117
92 187 50
93 110 177
94 199 12
95 179 116
96 13 77
97 17 66
98 144 95
99 146 72
