N 100 
0 56 40
1 61 65
2 108 100
3 37 26
4 146 3
5 181 36
6 21 105
7 5 90
8 180 170
9 29 53
10 114 58
11 192 47
12 2 122
13 184 188
14 83 1
15 113 118
16 90 84
17 147 166
18 93 20
19 101 105
20 139 173
21 161 165
22 76 67
23 141 15
24 128 2
25 175 139
26 67 148
27 153 179
28 112 57
29 113 84
30 44 190
31 112 0
32 182 96
33 197 79
34 64 77
35 188 155
36 195 193
37 160 198
38 198 44
39 127 13
40 27 49
41 197 109
42 130 30
43 169 54
44 190 134
45 185 73
46 138 97
47 124 63
48 161 75
49 88 88
50 23 181
51 19 27
52 161 18
53 151 161
54 59 83
55 89 156
56 27 73
57 155 89
58 77 92
59 20 111
60 123 164
61 33 130
62 21 93
63 3 35
64 54 81
65 78 114
66 32 91
67 184 161
68 127 82
69 118 90
70 156 185
71 18 57
72 138 125
73 167 194
74 200 132
75 149 120
76 128 157
77 35 167
78 140 166
79 162 90
80 3 116
81 112 95
82 109 17
83 146 139
84 52 163
85 38 14
86 148 172
87 196 102
88 119 100
89 190 146
90 30 127
91 134 143
92 39 152
93 153 10
94 174 188
95 88 26
96 51 92
97 179 35
98 160 90
99 38 49
