N 100 
0 194 178
1 58 190
2 112 42
3 1 12
4 160 165
5 66 180
6 62 118
7 84 184
8 120 72
9 168 58
10 18 51
11 142 119
12 99 45
13 189 128
14 82 195
15 194 98
16 146 59
17 50 149
18 119 44
19 151 37
20 170 95
21 70 115
22 137 39
23 12 122
24 128 137
25 122 117
26 139 35
27 166 120
28 137 33
29 6 155
30 114 85
31 83 150
32 197 165
33 112 190
34 64 3
35 74 91
36 65 88
37 191 31
38 126 56
39 20 109
40 113 34
41 41 108
42 113 1
43 154 177
44 200 49
45 28 36
46 136 116
47 128 39
48 54 86
49 107 89
50 142 58
51 53 83
52 177 156
53 48 41
54 190 16
55 20 127
56 48 127
57 15 88
58 89 151
59 70 46
60 118 128
61 56 163
62 43 162
63 49 55
64 43 115
65 171 197
66 20 64
67 146 1
68 49 82
69 171 98
70 36 197
71 35 66
72 52 173
73 92 102
74 170 69
75 70 135
76 164 40
77 99 17
78 183 15
79 123 182
80 153 66
81 10 75
82 56 150
83 106 168
84 1 8
85 117 70
86 55 28
87 179 134
88 83 121
89 101 3
90 39 181
91 136 63
92 113 52
93 147 93
94 69 106
95 49 151
96 85 46
97 28 114
98 173 25
99 190 155
