N 100 
0 188 127
1 145 122
2 164 169
3 156 107
4 57 131
5 115 70
6 150 52
7 98 100
8 118 183
9 2 194
10 134 101
11 108 130
12 91 67
13 194 61
14 72 140
15 142 168
16 179 102
17 99 195
18 47 34
19 15 8
20 156 110
21 20 102
22 43 15
23 49 194
24 36 33
25 187 74
26 153 169
27 86 116
28 62 162
29 179 147
30 181 60
31 102 190
32 36 186
33 120 11
34 73 117
35 65 54
36 147 185
37 51 104
38 186 159
39 27 8
40 191 193
41 125 75
42 21 118
43 13 110
44 0 19
45 75 139
46 155 51
47 47 170
48 101 197
49 23 100
50 98 195
51 154 13
52 15 45
53 63 11
54 4 99
55 43 93
56 51 138
57 98 92
58 44 6
59 53 136
60 87 57
61 197 75
62 89 47
63 200 144
64 63 21
65 200 51
66 61 27
67 54 78
68 154 94
69 177 29
70 197 178
71 70 195
72 190 110
73 58 0
74 162 110
75 158 147
76 111 9
77 55 50
78 198 192
79 167 139
80 161 187
81 168 147
82 15 11
83 174 104
84 26 88
85 135 15
86 41 12
87 31 97
88 33 88
89 171 156
90 129 96
91 14 126
92 45 194
93 156 78
94 97 86
95 44 195
96 13 80
97 142 151
98 115 194
99 132 135
