N 100 
0 179 91
1 34 26
2 175 168
3 83 87
4 56 33
5 102 142
6 75 127
7 8 43
8 47 106
9 95 124
10 68 164
11 179 117
12 100 27
13 94 192
14 115 145
15 113 72
16 154 41
17 161 115
18 76 133
19 148 18
20 9 109
21 97 10
22 23 190
23 118 130
24 2 13
25 146 74
26 90 67
27 77 175
28 70 51
29 63 135
30 140 170
31 9 36
32 94 163
33 113 180
34 195 53
35 30 8
36 55 35
37 129 198
38 170 129
39 156 164
40 13 141
41 37 126
42 141 157
43 188 57
44 81 79
45 2 158
46 57 114
47 198 0
48 118 27
49 47 46
50 15 54
51 166 166
52 84 17
53 96 131
54 87 137
55 118 62
56 159 178
57 79 180
58 31 146
59 186 28
60 69 140
61 27 193
62 83 85
63 70 152
64 49 23
65 45 59
66 199 105
67 24 134
68 112 42
69 33 159
70 187 125
71 123 74
72 124 24
73 41 143
74 83 196
75 180 138
76 10 166
77 79 138
78 94 109
79 72 148
80 90 157
81 12 73
82 31 99
83 151 95
84 176 181
85 128 130
86 182 115
87 95 164
88 71 146
89 3 148
90 134 67
91 200 24
92 147 95
93 16 117
94 81 199
95 121 35
96 198 147
97 103 172
98 91 177
99 134 7
