N 100 
0 70 0
1 74 135
2 146 191
3 168 11
4 164 193
5 131 51
6 159 30
7 190 120
8 139 25
9 25 38
10 89 49
11 43 177
12 48 167
13 142 43
14 130 34
15 125 61
16 100 65
17 183 182
18 66 9
19 26 104
20 10 62
21 24 83
22 200 63
23 147 86
24 141 95
25 169 26
26 95 8
27 88 46
28 46 186
29 176 144
30 14 132
31 194 135
32 102 62
33 143 16
34 115 155
35 82 78
36 122 29
37 112 25
38 6 41
39 188 169
40 129 12
41 129 72
42 169 90
43 56 87
44 128 65
45 40 114
46 0 137
47 69 194
48 111 8
49 93 131
50 20 164
51 92 118
52 86 146
53 135 105
54 182 42
55 186 182
56 63 102
57 192 96
58 126 173
59 192 55
60 102 157
61 12 152
62 46 48
63 86 38
64 165 86
65 115 123
66 30 15
67 132 172
68 190 175
69 64 189
70 137 194
71 5 52
72 144 179
73 164 91
74 47 16
75 136 39
76 68 168
77 73 113
78 101 135
79 140 65
80 24 12
81 133 58
82 109 48
83 187 47
84 92 197
85 198 150
86 112 110
87 104 26
88 113 152
89 76 105
90 24 107
91 118 40
92 65 40
93 146 96
94 150 61
95 171 5
96 18 4
97 107 186
98 103 67
99 147 159
