N 100 
0 9 145
1 168 108
2 5 126
3 200 140
4 7 135
5 91 101
6 132 104
7 115 104
8 56 194
9 99 59
10 162 200
11 124 128
12 60 116
13 59 9
14 52 173
15 12 148
16 181 127
17 55 186
18 50 188
19 161 49
20 79 18
21 168 15
22 150 102
23 55 10
24 89 148
25 152 92
26 172 0
27 51 167
28 82 109
29 197 124
30 14 146
31 190 2
32 156 155
33 117 109
34 36 13
35 137 167
36 36 34
37 153 3
38 56 95
39 53 85
40 41 118
41 121 2
42 24 67
43 110 135
44 52 38
45 17 166
46 20 73
47 54 111
48 102 95
49 168 124
50 119 112
51 14 154
52 45 96
53 188 11
54 104 111
55 195 118
56 150 126
57 129 38
58 132 152
59 139 124
60 49 158
61 188 182
62 12 186
63 25 117
64 147 156
65 155 22
66 38 18
67 1 31
68 174 91
69 31 36
70 85 167
71 151 112
72 148 84
73 39 65
74 25 189
75 106 19
76 42 64
77 109 152
78 153 145
79 24 2
80 20 85
81 117 150
82 111 189
83 114 83
84 178 149
85 73 82
86 199 4
87 13 132
88 164 25
89 32 197
90 144 105
91 60 88
92 67 126
93 122 8
94 47 87
95 113 89
96 1 28
97 190 142
98 187 105
99 35 129
