N 100 
0 93 0
1 177 151
2 182 103
3 79 164
4 148 130
5 189 87
6 167 26
7 38 15
8 156 141
9 82 149
10 78 59
11 55 7
12 106 137
13 40 85
14 111 124
15 135 58
16 179 151
17 159 138
18 175 23
19 112 99
20 36 27
21 176 125
22 56 35
23 135 116
24 199 156
25 5 31
26 61 177
27 74 47
28 51 160
29 158 94
30 62 175
31 108 99
32 170 183
33 50 98
34 83 13
35 112 43
36 141 157
37 43 85
38 178 168
39 39 35
40 33 0
41 195 95
42 2 123
43 108 144
44 63 46
45 41 132
46 115 6
47 173 74
48 50 26
49 17 142
50 66 101
51 88 111
52 30 17
53 79 59
54 172 41
55 165 2
56 130 122
57 185 80
58 163 194
59 168 152
60 124 92
61 189 180
62 22 58
63 170 160
64 103 174
65 56 2
66 50 166
67 140 71
68 67 200
69 32 19
70 114 11
71 57 165
72 35 125
73 144 129
74 3 196
75 137 137
76 173 153
77 155 70
78 13 43
79 26 92
80 19 169
81 24 44
82 118 30
83 107 190
84 69 118
85 58 197
86 38 50
87 51 77
88 190 56
89 20 139
90 115 23
91 134 166
92 41 58
93 123 97
94 135 128
95 162 120
96 48 115
97 125 195
98 110 157
99 46 149
