N 100 
0 39 144
1 118 90
2 99 66
3 158 96
4 4 36
5 91 69
6 69 24
7 50 8
8 50 190
9 81 19
10 108 194
11 34 20
12 7 165
13 187 122
14 96 48
15 10 0
16 55 190
17 190 30
18 181 171
19 119 54
20 191 74
21 11 93
22 183 172
23 111 89
24 97 116
25 91 129
26 121 51
27 185 126
28 76 7
29 191 47
30 9 137
31 173 142
32 52 180
33 15 198
34 79 26
35 149 11
36 188 192
37 184 195
38 23 8
39 49 30
40 111 107
41 47 4
42 175 153
43 129 89
44 88 136
45 76 179
46 172 27
47 95 73
48 22 3
49 140 194
50 150 116
51 1 147
52 193 40
53 130 87
54 190 193
55 65 57
56 162 93
57 81 22
58 87 100
59 149 134
60 153 11
61 157 5
62 94 151
63 190 195
64 178 63
65 79 67
66 60 31
67 38 24
68 57 166
69 124 137
70 139 31
71 79 69
72 58 127
73 15 88
74 97 151
75 30 172
76 163 134
77 148 18
78 25 104
79 40 3
80 178 68
81 43 192
82 4 113
83 124 53
84 158 82
85 137 142
86 179 45
87 92 43
88 7 162
89 24 180
90 153 65
91 6 52
92 148 177
93 60 144
94 115 69
95 100 157
96 78 110
97 125 103
98 156 65
99 80 191
