N 100 
0 191 94
1 188 184
2 65 156
3 25 19
4 97 140
5 64 130
6 124 15
7 187 159
8 43 170
9 192 84
10 54 22
11 70 48
12 176 140
13 174 25
14 5 109
15 34 44
16 193 100
17 196 182
18 25 139
19 66 185
20 47 69
21 185 186
22 115 73
23 158 46
24 11 54
25 83 51
26 102 187
27 72 25
28 162 85
29 108 117
30 191 72
31 124 3
32 196 33
33 67 170
34 189 164
35 69 163
36 8 99
37 164 21
38 3 131
39 42 165
40 161 29
41 113 15
42 75 163
43 149 180
44 174 61
45 166 151
46 165 99
47 18 46
48 174 177
49 65 133
50 44 109
51 121 158
52 136 26
53 138 103
54 47 79
55 77 124
56 197 35
57 151 192
58 147 18
59 116 140
60 14 157
61 170 81
62 180 188
63 108 172
64 135 160
65 95 1
66 100 84
67 6 113
68 170 15
69 164 65
70 101 13
71 178 107
72 173 40
73 115 17
74 177 16
75 101 41
76 13 74
77 6 169
78 42 109
79 95 130
80 7 151
81 38 133
82 123 120
83 169 49
84 38 91
85 76 135
86 20 149
87 166 156
88 81 180
89 192 146
90 92 72
91 147 33
92 135 104
93 39 77
94 47 118
95 109 132
96 49 115
97 21 173
98 92 134
99 28 147
