N 100 
0 145 102
1 147 199
2 93 176
3 52 111
4 11 33
5 60 53
6 199 43
7 193 145
8 172 146
9 6 61
10 35 139
11 55 7
12 97 197
13 193 76
14 132 67
15 6 50
16 104 114
17 45 98
18 37 89
19 165 34
20 53 94
21 2 92
22 145 165
23 145 153
24 157 18
25 16 158
26 29 13
27 94 169
28 156 77
29 6 21
30 102 108
31 93 164
32 166 157
33 145 28
34 182 148
35 133 74
36 91 144
37 10 61
38 67 170
39 42 21
40 103 46
41 20 124
42 67 169
43 42 172
44 150 163
45 129 172
46 44 167
47 19 94
48 65 84
49 4 15
50 112 52
51 101 59
52 22 135
53 145 55
54 144 111
55 143 155
56 74 143
57 136 3
58 0 81
59 103 112
60 158 142
61 47 89
62 154 46
63 59 130
64 69 148
65 74 2
66 115 131
67 197 35
68 49 100
69 90 186
70 152 100
71 35 5
72 6 47
73 196 29
74 74 52
75 197 72
76 96 151
77 111 178
78 76 97
79 34 113
80 165 36
81 76 155
82 115 102
83 75 191
84 36 87
85 144 135
86 168 150
87 73 39
88 30 81
89 169 20
90 81 86
91 88 28
92 147 92
93 20 175
94 134 136
95 113 118
96 80 134
97 19 10
98 51 174
99 174 196
