N 100 
0 114 95
1 186 7
2 48 128
3 172 6
4 21 136
5 24 71
6 2 52
7 123 18
8 94 97
9 105 146
10 84 128
11 113 195
12 148 139
13 111 86
14 188 1
15 166 134
16 134 30
17 22 44
18 180 97
19 88 38
20 31 118
21 34 119
22 16 192
23 35 6
24 120 42
25 149 35
26 109 183
27 181 176
28 52 195
29 176 37
30 199 94
31 38 139
32 79 149
33 134 0
34 168 65
35 4 46
36 78 196
37 14 59
38 114 122
39 85 34
40 200 1
41 193 178
42 80 81
43 124 51
44 199 113
45 2 64
46 36 133
47 173 17
48 38 35
49 43 45
50 106 137
51 5 101
52 183 173
53 105 78
54 131 32
55 186 75
56 178 17
57 187 14
58 182 18
59 138 108
60 16 134
61 48 54
62 119 153
63 191 140
64 136 3
65 150 14
66 195 39
67 143 62
68 55 104
69 108 92
70 93 195
71 85 35
72 130 193
73 193 91
74 128 194
75 50 175
76 139 182
77 10 148
78 9 27
79 80 34
80 139 76
81 73 36
82 109 12
83 199 88
84 120 160
85 187 21
86 197 98
87 83 140
88 83 162
89 190 4
90 195 122
91 17 108
92 52 168
93 193 51
94 4 130
95 138 189
96 102 77
97 39 8
98 56 166
99 48 33
