N 100 
0 115 87
1 187 47
2 146 79
3 48 51
4 115 27
5 137 1
6 80 99
7 124 46
8 188 62
9 5 152
10 16 28
11 150 161
12 67 143
13 69 75
14 142 162
15 103 16
16 129 183
17 160 127
18 182 94
19 58 39
20 41 77
21 105 3
22 117 45
23 89 61
24 17 101
25 71 69
26 4 37
27 157 166
28 64 119
29 60 61
30 150 102
31 187 82
32 123 168
33 114 58
34 10 120
35 41 0
36 149 98
37 189 92
38 108 1
39 69 58
40 177 106
41 126 64
42 146 46
43 42 99
44 64 55
45 53 194
46 53 186
47 86 179
48 199 179
49 106 24
50 163 140
51 168 14
52 159 6
53 164 61
54 129 143
55 8 1
56 86 105
57 158 20
58 3 22
59 193 171
60 200 187
61 94 189
62 12 147
63 80 43
64 57 9
65 3 1
66 78 101
67 73 42
68 76 95
69 53 127
70 72 159
71 15 42
72 178 107
73 5 9
74 39 187
75 9 167
76 86 76
77 89 103
78 50 81
79 8 104
80 146 8
81 136 190
82 150 38
83 172 53
84 148 36
85 31 73
86 178 96
87 121 118
88 151 29
89 189 173
90 140 85
91 56 63
92 152 49
93 51 197
94 3 198
95 108 45
96 79 151
97 79 68
98 32 25
99 40 86
