N 100 
0 1 82
1 101 153
2 169 32
3 83 82
4 55 54
5 39 30
6 64 80
7 52 104
8 32 4
9 69 45
10 112 13
11 17 186
12 184 0
13 174 87
14 117 7
15 27 67
16 70 190
17 90 196
18 61 182
19 69 197
20 68 18
21 61 61
22 12 160
23 136 38
24 104 48
25 62 22
26 138 76
27 168 132
28 118 185
29 13 155
30 49 59
31 25 154
32 66 30
33 104 115
34 77 125
35 193 196
36 160 9
37 77 32
38 11 5
39 29 90
40 30 86
41 40 177
42 27 28
43 193 137
44 84 188
45 90 51
46 20 185
47 42 106
48 176 193
49 6 151
50 171 122
51 135 41
52 78 109
53 24 63
54 25 22
55 44 68
56 24 111
57 176 79
58 117 173
59 129 123
60 45 74
61 191 69
62 199 100
63 174 162
64 148 47
65 152 88
66 147 21
67 86 144
68 125 195
69 20 136
70 81 41
71 73 76
72 118 87
73 140 107
74 179 21
75 48 98
76 69 84
77 114 131
78 190 89
79 196 31
80 45 46
81 78 166
82 176 116
83 42 197
84 110 81
85 113 83
86 149 171
87 97 42
88 92 152
89 145 45
90 72 124
91 28 74
92 109 7
93 91 45
94 192 157
95 102 167
96 125 102
97 172 85
98 165 163
99 108 104
