N 100 
0 165 91
1 102 168
2 77 200
3 44 17
4 147 199
5 19 96
6 13 177
7 117 151
8 124 81
9 165 147
10 107 186
11 165 41
12 31 16
13 124 140
14 20 78
15 81 152
16 17 1
17 74 70
18 2 172
19 173 64
20 63 85
21 192 185
22 35 53
23 86 57
24 14 121
25 36 55
26 33 41
27 19 69
28 183 42
29 151 126
30 18 8
31 35 140
32 12 139
33 8 49
34 199 109
35 24 117
36 89 145
37 200 122
38 81 165
39 37 9
40 9 30
41 189 142
42 88 126
43 186 136
44 13 114
45 173 80
46 193 61
47 18 42
48 54 56
49 172 177
50 185 162
51 126 9
52 93 28
53 147 29
54 150 82
55 196 200
56 110 160
57 190 108
58 131 100
59 43 156
60 90 191
61 156 123
62 72 184
63 60 139
64 22 45
65 18 190
66 79 46
67 125 91
68 70 151
69 53 175
70 197 72
71 123 145
72 44 52
73 57 6
74 126 117
75 55 91
76 51 131
77 146 101
78 5 2
79 160 185
80 174 154
81 40 183
82 144 150
83 71 47
84 112 184
85 32 175
86 169 89
87 33 183
88 175 96
89 51 23
90 76 162
91 97 120
92 42 168
93 133 170
94 0 5
95 130 161
96 52 138
97 80 99
98 22 72
99 130 15
