N 100 
0 19 45
1 71 131
2 143 77
3 10 126
4 200 30
5 183 127
6 121 165
7 167 185
8 196 70
9 36 195
10 40 27
11 13 46
12 104 92
13 69 85
14 114 139
15 93 165
16 56 99
17 162 169
18 34 99
19 43 145
20 193 123
21 85 39
22 104 71
23 139 175
24 15 121
25 21 30
26 192 32
27 58 115
28 126 37
29 124 116
30 142 171
31 151 148
32 160 107
33 105 14
34 132 165
35 68 136
36 95 82
37 12 183
38 199 4
39 37 141
40 170 13
41 180 55
42 88 184
43 39 194
44 165 6
45 181 188
46 89 21
47 199 75
48 17 70
49 73 128
50 11 166
51 27 123
52 27 27
53 140 41
54 96 101
55 25 113
56 137 198
57 38 115
58 64 79
59 189 193
60 156 120
61 94 40
62 148 120
63 69 112
64 157 5
65 92 125
66 55 180
67 181 199
68 136 133
69 191 176
70 41 88
71 158 105
72 8 164
73 34 116
74 148 54
75 161 35
76 38 87
77 184 15
78 98 91
79 173 15
80 48 63
81 56 117
82 67 27
83 1 24
84 188 86
85 143 4
86 110 102
87 54 42
88 28 59
89 189 66
90 180 183
91 119 198
92 138 148
93 86 165
94 178 50
95 130 184
96 78 130
97 160 106
98 125 84
99 38 30
