N 100 
0 62 192
1 57 32
2 90 116
3 81 187
4 63 159
5 50 155
6 73 110
7 124 146
8 62 146
9 1 96
10 82 40
11 195 110
12 72 116
13 20 183
14 148 177
15 180 20
16 19 86
17 125 44
18 185 84
19 29 93
20 188 145
21 150 167
22 88 24
23 126 162
24 147 39
25 44 43
26 103 95
27 191 83
28 187 191
29 168 5
30 84 177
31 11 33
32 56 190
33 69 33
34 198 10
35 113 161
36 14 110
37 191 93
38 175 84
39 109 20
40 176 150
41 85 156
42 127 3
43 65 89
44 150 115
45 198 18
46 172 180
47 154 17
48 94 61
49 13 61
50 156 137
51 22 140
52 29 42
53 135 176
54 1 93
55 35 175
56 80 164
57 115 112
58 97 45
59 171 64
60 181 103
61 1 7
62 172 61
63 116 154
64 83 158
65 25 116
66 139 107
67 107 67
68 147 8
69 109 77
70 170 54
71 33 79
72 0 157
73 3 96
74 33 195
75 100 125
76 22 7
77 52 195
78 25 61
79 47 152
80 82 194
81 66 185
82 48 160
83 41 68
84 175 41
85 152 155
86 157 50
87 184 20
88 15 15
89 113 182
90 60 16
91 64 149
92 72 25
93 112 125
94 10 157
95 85 75
96 166 88
97 98 61
98 92 69
99 93 73
