N 100 
0 166 104
1 41 89
2 129 166
3 57 23
4 195 104
5 115 146
6 36 116
7 97 159
8 105 145
9 180 155
10 19 65
11 62 107
12 106 58
13 119 179
14 0 134
15 193 7
16 172 174
17 115 40
18 186 158
19 105 116
20 146 114
21 66 166
22 114 27
23 34 196
24 31 154
25 14 142
26 71 190
27 96 33
28 198 184
29 96 98
30 20 175
31 196 172
32 181 19
33 30 17
34 27 185
35 107 157
36 149 68
37 159 89
38 41 181
39 167 49
40 106 166
41 141 10
42 116 56
43 162 165
44 97 144
45 76 185
46 144 84
47 126 50
48 67 102
49 9 185
50 29 56
51 115 62
52 131 178
53 3 58
54 150 176
55 189 172
56 90 195
57 19 81
58 58 126
59 103 54
60 142 184
61 186 82
62 141 0
63 198 132
64 55 104
65 96 160
66 187 157
67 176 101
68 32 135
69 26 72
70 135 85
71 147 168
72 56 9
73 158 34
74 129 64
75 77 11
76 131 99
77 112 21
78 189 156
79 78 94
80 47 57
81 135 135
82 159 8
83 60 72
84 147 126
85 196 175
86 147 91
87 72 180
88 144 193
89 185 52
90 121 152
91 76 143
92 145 18
93 117 188
94 150 34
95 89 124
96 135 143
97 162 12
98 110 162
99 177 1
