N 100 
0 122 147
1 96 174
2 89 49
3 10 164
4 37 171
5 73 7
6 104 128
7 167 34
8 114 46
9 145 108
10 45 62
11 114 16
12 149 150
13 6 0
14 199 47
15 160 134
16 71 137
17 127 7
18 140 111
19 136 33
20 113 29
21 144 125
22 26 67
23 64 60
24 95 53
25 137 146
26 183 26
27 67 7
28 140 52
29 156 126
30 55 15
31 185 165
32 95 87
33 162 33
34 4 131
35 174 5
36 80 107
37 75 162
38 76 127
39 117 165
40 50 148
41 15 130
42 17 32
43 65 28
44 89 109
45 194 26
46 85 189
47 18 72
48 144 158
49 32 165
50 85 193
51 63 65
52 141 50
53 172 41
54 10 172
55 87 22
56 167 114
57 144 43
58 120 160
59 97 27
60 111 197
61 38 113
62 157 6
63 147 1
64 109 124
65 62 10
66 111 8
67 55 148
68 13 33
69 37 48
70 25 108
71 28 69
72 1 58
73 124 74
74 96 190
75 158 198
76 164 43
77 71 138
78 186 81
79 86 166
80 1 145
81 62 91
82 55 71
83 105 144
84 168 156
85 147 118
86 155 155
87 158 84
88 165 72
89 41 42
90 38 163
91 101 109
92 53 195
93 24 111
94 8 25
95 95 153
96 69 193
97 137 187
98 60 116
99 9 116
