N 100 
0 95 15
1 168 4
2 37 150
3 167 92
4 38 132
5 62 94
6 153 113
7 175 178
8 51 103
9 125 194
10 136 118
11 75 98
12 85 35
13 181 167
14 109 174
15 120 86
16 7 120
17 7 151
18 154 128
19 34 52
20 165 3
21 103 35
22 52 42
23 173 55
24 44 35
25 106 1
26 173 110
27 167 49
28 25 37
29 32 96
30 116 72
31 127 190
32 51 195
33 157 190
34 125 100
35 130 121
36 24 127
37 124 160
38 157 54
39 129 92
40 200 89
41 116 33
42 91 139
43 17 44
44 29 28
45 177 149
46 100 66
47 88 90
48 172 180
49 94 142
50 154 189
51 162 114
52 195 66
53 89 167
54 0 177
55 175 79
56 175 110
57 51 88
58 146 96
59 96 20
60 99 77
61 156 177
62 38 20
63 49 99
64 47 62
65 56 174
66 113 176
67 179 78
68 162 27
69 165 89
70 126 184
71 179 11
72 45 10
73 144 52
74 115 29
75 148 58
76 112 152
77 195 144
78 170 155
79 51 60
80 93 78
81 43 80
82 164 143
83 185 139
84 93 51
85 37 168
86 77 60
87 46 179
88 166 72
89 29 22
90 63 28
91 37 115
92 51 57
93 92 170
94 81 176
95 185 25
96 75 3
97 115 51
98 50 54
99 80 22
