N 100 
0 120 177
1 90 88
2 177 54
3 147 20
4 28 8
5 190 23
6 51 30
7 83 117
8 35 164
9 194 124
10 19 103
11 104 20
12 2 86
13 125 75
14 62 28
15 69 35
16 110 169
17 186 156
18 131 172
19 16 161
20 116 91
21 122 55
22 97 85
23 2 156
24 185 166
25 14 67
26 14 26
27 26 154
28 106 33
29 43 152
30 112 30
31 147 16
32 131 188
33 28 135
34 91 75
35 76 62
36 173 183
37 19 42
38 146 163
39 120 121
40 27 112
41 167 114
42 82 2
43 183 96
44 62 64
45 69 142
46 101 124
47 184 156
48 191 143
49 146 30
50 89 90
51 147 195
52 161 120
53 187 172
54 66 83
55 187 122
56 169 196
57 131 119
58 148 169
59 45 79
60 127 100
61 179 138
62 12 116
63 185 74
64 14 154
65 44 3
66 85 1
67 66 187
68 114 181
69 165 187
70 120 189
71 4 145
72 173 65
73 65 115
74 46 41
75 200 111
76 91 26
77 135 172
78 32 51
79 128 3
80 60 1
81 22 24
82 66 32
83 42 91
84 123 187
85 185 18
86 0 104
87 59 4
88 159 7
89 27 68
90 99 187
91 50 33
92 8 140
93 42 11
94 68 155
95 55 90
96 102 188
97 88 174
98 99 186
99 106 99
